,Measures,Single operand,Numerator,Denominator
60,number of gallons of water conserved annually by farm,,,
61,number of total land irrigated,,,
62,percent conversion of target fields into water efficient crops,,,
63,percent efficiency of water use,,,
64,percent increase in volume of water recycling and reuse,,,
65,percentage of drainage works completed,,['drainage works completed'],['Total number of drainage works']
66,percentage of estimated soil moisture,,['estimated soil moisture estimated'],['Total number of estimated soil moisture']
67,percent reduction of agriculture water consumption per hectare,,,
68,agriculture water consumption rate  per hectare,,,
69,irrigation return interval,,,
70,irrigation scheduling coefficient,,,
71,rate of applied volume of water,,,
72,ratio of water charges collected  operation and maintenance expenses,,,
73,ratio of water charges collected  water charges due,,,
74,ratio of water charges due  operation and maintenance expenses,,,
75,total irrigable and irrigated areas,['total irrigable and irrigated areas'],,
76,yearly amount of water usage for agricultural purposes,,,
77,number of buyers reached with agricultural promotion campaign messages,,,
78,number of demonstration plots,,,
79,number of farm publishing through official website and media,,,
80,number of farm shops complaints investigatedprocessed,,,
81,number of permits  licenses on hand,,,
82,number of total earnings,,,
83,percent increase in total sales at the farmers market,,,
84,percent increase in total users of the farmers market,,,
85,percentage of farm clients satisfied,,['farm clients satisfied'],['Total number of farm clients']
86,percent turnover of food retailers,,,
87,average price of sold fruit directly to supermarkets in us dollar,,,
88,average selling price of main crop potatoes,,,
89,average selling price of soft wheat,,,
90,average selling price of sugar beet _unit value_,,,
91,average time from production to distribution,,,
92,retail sales of foodstuffs,,,
93,total sold production of products packaged,['total sold production of products packaged'],,
94,total value of agricultural export from the farm,['total value of agricultural export from the farm'],,
95,number of fertilizer sample testing done,,,
96,number of food analyses conducted,,,
97,number of food borne disease reported,,,
98,number of food poisoning incidents,,,
99,number of food safety alerts,,,
100,number of food safety incidents,,,
101,number of grams of fertilizer consumption per hectare of arable land,,,
102,number of pesticide products used,,,
103,number of plant pests_ diseases,,,
104,number of plant_ fruit fly trap_ and honeybee inspections performed,,,
105,number of tons of fruits and vegetables inspected,,,
106,percent accuracy in tests conducted in lab analysis timeframe,,,
107,percent air emissions compliance,,,
108,percent air quality compliance,,,
109,percent chemical fertilizer reduction,,,
110,percentage of transportation system and logistics are in compliance,,['transportation system logistics compliance'],['logistics compliance']
111,percentage of waste discharge compliance,,['waste discharge'],"[""Total number of ['waste', 'discharge', 'compliance']""]"
112,percent prescribed burning compliance,,,
113,percent use of chemical fertilizers,,,
114,percent use of pesticides,,,
115,total consumption of fertilizers _tones of active ingredient_,['total consumption of fertilizers _tones of active ingredient_'],,
116,total consumption of pesticides _tones of active ingredient_,['total consumption of pesticides _tones of active ingredient_'],,
117,volume of wastewater discharge,,,
118,number of inputs to the food chain,,,
119,number of miles area under glass,,,
120,number of tonnes of apples production,,,
121,number of tonnes of carrots production,,,
122,number of tonnes of cereals production,,,
123,number of tonnes of crop production,,,
124,number of tonnes of fruits production,,,
125,number of tonnes of onions production,,,
126,number of tonnes of oranges production,,,
127,number of tonnes of organic farming,,,
128,number of tonnes of pears production,,,
129,number of tonnes of potatoes production,,,
130,number of tonnes of rape production,,,
131,number of tonnes of sugar beet production,,,
132,number of tonnes of sunflower production,,,
133,number of tonnes of tomatoes production,,,
134,number of tonnes of vegetables,,,
135,number of tonnes of vegetables production,,,
136,number of tonnes of wheat production,,,
137,percent increase in local food production as percentage of annual consumption,,['local food production'],['Total number of annual consumption']
138,percentage of extra imports of all edible vegetables prepared and preserved,,['extra imports prepared'],['Total number of extra imports']
139,percentage of extra imports of all edible vegetables_ fresh_ chilled and frozen,,['extra imports chilled'],['Total number of extra imports']
140,percentage of extra imports of cereals and cereal products,,['extra imports cereals cereal products'],['cereals cereal products']
141,percentage of extra imports of coffee_ tea_ cocoa,,['extra imports coffee _ tea_ cocoa'],['coffee _ tea_ cocoa']
142,percentage of extra imports of feeding stuffs,,['extra imports feeding'],['Total number of extra imports']
143,percentage of extra imports of fish_ crustaceans and molluscs,,['extra imports fish_ crustaceans molluscs'],['fish_ crustaceans molluscs']
144,percentage of extra imports of food products,,['extra imports'],['Total number of food products']
145,percentage of extra imports of fruit and nuts _not including oil nuts_ fresh or dried,,['extra imports including'],['Total number of extra imports']
146,percentage of extra imports of fruit juices and vegetable juices,,['extra imports fruit juices vegetable juices'],['fruit juices vegetable juices']
147,percentage of extra imports of fruit preserved and fruit preparations,,['extra imports preserved'],['Total number of extra imports']
148,percentage of extra imports of roots and tubers_ fresh_ chilled and frozen,,['extra imports chilled'],['Total number of extra imports']
149,percentage of extra imports of roots and tubers_ prepared and preserved,,['extra imports prepared'],['Total number of extra imports']
150,percentage of extra imports of sugars_ sugar preparations and honey,,['extra imports sugars _ sugar preparations honey'],['_ sugar preparations honey']
151,percent share of sales of foodstuffs in supermarkets and other non_specialized stores,,,
152,average price of sold fruit and olive trees directly to farmers in us dollar by nursery gardens by source,,,
153,cereals balance sheet _crop year_,,,
154,crop production index _2005 equal to 100_,,,
155,crops products_ supply balances sheets,,,
156,dried pulses balance sheet _crop year_,,,
157,fats and oils balance sheet _crop yearcalendar year_,,,
158,fruit and olive trees sold directly to farmers  by nursery gardens by destination of the sold fruit trees,,,
159,fruit and vegetables balance sheet _crop year_,,,
160,gross human apparent consumption of main food items,['total human apparent consumption of main food items'],,
161,gross human apparent consumption of main food items per capita,['total human apparent consumption of main food items per capita'],,
162,harmonized indices of consumer prices,,,
163,index of producer prices of agricultural products,,,
164,index of purchase prices of the means of agricultural production,,,
165,main crops area _ha_ by location and specie,,,
166,main crops production  by location and specie,,,
167,main crops surface _ha_ by location and specie,,,
168,main crops yield _kg ha_ by location and specie,,,
169,nursery gardens  by source,,,
170,oil press units  by location_ type of oil press unit and type of extraction system,,,
171,olive oil produced _hl_ by location_ type of oil press unit_ degree of acidity and type of extraction,,,
172,olive oil produced per quintal of olives _hl q_ by location_ type of oil press unit and type of extraction,,,
173,olive production  by location of olive,,,
174,olives processed for oil  by location_ type of oil press unit and type of extraction system,,,
175,potatoes balance sheet _crop year_,,,
176,price index of agricultural products,,,
177,price index of the means of agricultural production,,,
178,products with distinctive marks _final consumers perspective_,,,
179,purchase prices of the means of agricultural production,,,
180,quantity and value of agricultural products supplies for agricultural marketing centers,,,
181,relative price level indices of food products,,,
182,rice balance sheet _crop year_,,,
183,selling prices of animal products,,,
184,selling prices of crop products,,,
185,sold fruit and olive trees  by nursery gardens by source_ trees destination and fruit species,,,
186,sugar balance sheet _crop year_,,,
187,table grape surface _ha_ of viticultural holdings by location and changes of property,,,
188,total crops products _excluding fruits and vegetables_,['total crops products _excluding fruits and vegetables_'],,
189,total food consumption,['total food consumption'],,
190,total production and external trade of animal and vegetable fats and oils,['total production and external trade of animal and vegetable fats and oils'],,
191,total production and external trade of bakers yeast and soups,['total production and external trade of bakers yeast and soups'],,
192,total production and external trade of cereal products,['total production and external trade of cereal products'],,
193,total production and external trade of chocolate and confectionary,['total production and external trade of chocolate and confectionary'],,
194,total production and external trade of coffee_ tea and cocoa,['total production and external trade of coffee_ tea and cocoa'],,
195,total production and external trade of dessert preparations,['total production and external trade of dessert preparations'],,
196,total production and external trade of fresh meat and meat products,['total production and external trade of fresh meat and meat products'],,
197,total production and external trade of fruit and vegetable juices,['total production and external trade of fruit and vegetable juices'],,
198,total production and external trade of mineral waters and soft drinks,['total production and external trade of mineral waters and soft drinks'],,
199,total production and external trade of processed fruits,['total production and external trade of processed fruits'],,
200,total production and external trade of processed vegetables,['total production and external trade of processed vegetables'],,
201,total production and external trade of sauces and condiments,['total production and external trade of sauces and condiments'],,
202,total production and external trade of sugar_ jam_ and honey,['total production and external trade of sugar_ jam_ and honey'],,
203,total production of organic animal products,['total production of organic animal products'],,
204,total production of processed foodstuffs,['total production of processed foodstuffs'],,
205,total sales of foodstuffs,['total sales of foodstuffs'],,
206,number food production per capita,,,
207,number of high_value habitats conserved,,,
208,number of patents in agriculture and water areas,,,
209,percent farmers using conservation farming methods,,,
210,percent increase in research centers and in developing innovative methods for energy use in agriculture,,,
211,percent increase in soft loans to the agricultural sector at a rate,,,
212,percentage of environmentally favorable extensification of farming,,['environmentally favorable extensification'],['Total number of farming']
213,percentage of forest _percentage of land area_,,['forest'],['Total number of land area']
214,percentage of gdp _ agriculture value added,,['gdp _ agriculture value added'],['Total number of gdp _ agriculture value']
215,percentage of low_intensity pasture systems,,['low_intensity pasture'],"[""Total number of ['low_intensity', 'pasture', 'systems']""]"
216,percent reduced support to wheat,,,
217,agricultural and water randd spend at universities and techno valleys,,,
218,food production index,,,
219,government expenditure on randd projects related to food safety,,,
220,government investment in foreign agricultural production,,,
221,national road transport of foodstuffs_ by distance,,,
222,total economically active population in agriculture _1000 inhabitant_,['total economically active population in agriculture _1000 inhabitant_'],,
223,total external trade of products used to package food and beverages,['total external trade of products used to package food and beverages'],,
224,total sold production of products used to package food and beverages,['total sold production of products used to package food and beverages'],,
225,total value of loans granted to farmers,['total value of loans granted to farmers'],,
226,value of agricultural output,,,
227,value of intermediate consumption in agriculture,,,
228,number agriculture commercialized inventions,,,
229,number of actors involved in the food chain,,,
230,number of agricultural production of specified products,,,
231,number of canteens enterprises,,,
232,number of direct involvement from academia_ private sector associations and consumer protection agencies,,,
233,number of existing quality management system _qms_ in agriculture sector,,,
234,number of family farm labor force,,,
235,number of food retailers enterprises,,,
236,number of food retailers enterprises total employment,,,
237,number of hotels and restaurants next to farm lands,,,
238,number of intl accreditation of services,,,
239,number of publishing through official website and media,,,
240,number of reduction in districts that are food insecure,,,
241,number of regional distribution units producing foodstuffs,,,
242,number of regular farm labor force,,,
243,number of square meters of land cleared and restored to productive use in sponsored programs,,,
244,percent automation of e_government,,,
245,percent farmers training level,,,
246,percent growth rate in the agriculture sector,,,
247,percent increase employment opportunities in the agricultural sector,,,
248,percent increase in farmer satisfaction levels with services,,,
249,percent increase in sharing information through website,,,
250,percent increase investment in agricultural,,,
251,percent increase of it software and hardware usage across the sector,,,
252,percentage of agricultural training of farm managers,,['agricultural training'],['Total number of farm managers']
253,percentage of completion of integrated plan for agriculture sector,,['completion integrated'],['Total number of completion']
254,percentage of contribution of agriculture to foreign exchange,,['contribution agriculture foreign exchange'],['agriculture foreign exchange']
255,percentage of contribution of agriculture to gdp,,['contribution'],['Total number of agriculture']
256,percentage of data and statistics in centralized data repository,,['data statistics centralized data repository'],['statistics centralized data repository']
257,percentage of electronic data of food imports stored in database,,['electronic data stored'],['Total number of electronic data']
258,percentage of farmers satisfied,,['farmers satisfied'],['Total number of farmers']
259,percentage of farms joining farmers association,,['farms joining'],['Total number of farms']
260,percentage of functioning strategic planning capability,,['functioning strategic planning capability functioning'],['Total number of functioning strategic planning capability']
261,percentage of identified farmers and livestock owners eligible for support payments,,['identified farmers identified'],['Total number of identified farmers']
262,percentage of non_core operational activities transferred to the private sector,,['non_core operational activities transferred'],['Total number of non_core operational activities']
263,percentage of privatized non_core businesses of agriculture sector,,['privatized non_core businesses'],['Total number of agriculture sector']
264,percentage of services provided online,,['services provided'],['Total number of services']
265,percentage of smart performance measures for all strategies targets,,['smart performance measures'],['Total number of all strategies']
266,percentage of the population assessed as food secure,,['the population assessed'],['Total number of the population']
267,percentage of vacant technical positions,,['vacant technical'],"[""Total number of ['vacant', 'technical', 'positions']""]"
268,percent tailored automated applications for core businesses,,,
269,administrative cost as a percentage of total agency costs,,['a percentage'],['Total number of total agency costs']
270,administrative positions as a percentage of total agency positions,,['a percentage'],['Total number of total agency positions']
271,agriculture value added per worker _constant us dollar_,,,
272,economic accounts for agriculture _ agricultural income,,,
273,economic accounts for agriculture values at constant prices,,,
274,economic accounts for agriculture values at current prices,,,
275,gross value added of the agricultural industry,['total value added of the agricultural industry'],,
276,growth rate of agriculture sectorâ€™s value added ,,,
277,increase in public spending on rande as a percentage of gdp from the agriculture sector,,['rande increase'],['Total number of rande']
278,increase in subsidy ,,,
279,labor productivity in agriculture,,,
280,labor productivity sector _ thousand us dollar  operated _,,,
281,standard gross margin coefficients used for typology,,,
282,standard output coefficients used for typology,,,
283,total economic accounts for agriculture,['total economic accounts for agriculture'],,
284,total income from agricultural activity,['total income from agricultural activity'],,
285,total labor force,['total labor force'],,
286,total output of the agricultural industry,['total output of the agricultural industry'],,
287,total value of agricultural exports,['total value of agricultural exports'],,
288,value of agricultural production on foreign lands,,,
289,number of animal site inspections performed,,,
290,number of animals or samples submitted to the labs per year for surveillance healthcare,,,
291,number of avian influenza tests provided to poultry growers and hobbyists,,,
292,number of diseases_ by agricultural area,,,
293,number of employee hours spent on animal and agricultural emergency activities,,,
294,number of notifiable animal diseases,,,
295,number of plant pests by agricultural area,,,
296,number of reports of suspected or positive dangerous_ transmissible diseases received,,,
297,number of samples submitted to the poultry lab network yearly for diagnostic testing,,,
298,number of tests andor vaccinations performed on animals,,,
299,number of violations detected per category,,,
300,percent cow mortality,,,
301,percent cow survival,,,
302,percent farrowing rate,,,
303,percentage of animal production establishments are certified with evidence on good farming practices,,['animal production establishments certified'],['Total number of animal production establishments']
304,percentage of known pest introductions detected before they spread from the original area of colonization,,['known pest introductions known'],['Total number of known pest introductions']
305,percentage of positive test results from livestock and poultry tested for specific diseases,,['positive test results tested'],['Total number of positive test results']
306,percent stillborn cow,,,
307,number of acres tested,,,
308,number of bushels of processed shell and live oysters deposited to restore habitat on public oyster reefs,,,
309,number of leases verified for compliance,,,
310,number of shellfish processing plant inspections,,,
311,number of shellfish processing plants inspected,,,
312,percentage of shellfish facilities in significant compliance with permit and food safety regulations,,['shellfish facilities significant compliance permit and food safety regulations'],['significant compliance permit and food safety regulations']
313,aquaculture production _ quantities _tonnes live weight_,,,
314,aquaculture production _ values _$_,,,
315,quantity of fish caught from the major families of fish,,,
316,total aquaculture production,['total aquaculture production'],,
317,number of assists provided to consumers by the call center,,,
318,number of complaints investigatedprocessed,,,
319,number of food borne disease reporting mechanism,,,
320,number of identified risks for imported and domestic food,,,
321,number of issued codes of practice for farms and abattoirs,,,
322,number of law assists made to consumers,,,
323,number of no sales solicitation calls processed,,,
324,number of regulated entities licensed,,,
325,number of risk based system implementation on borders of entry,,,
326,number of successful programs  campaigns,,,
327,percent food and health certification for food industry,,,
328,percent increase in food and health certification for 4 and 5 star hotels,,,
329,percent increase in involvement of various stakeholders,,,
330,percent increase in transparency through reports sharing and stakeholders satisfaction,,,
331,percent increase of qualified food inspectors with related degrees,,,
332,percent increase society awareness,,,
333,percentage of all regulated entities with investigation found violation of consumer protection laws,,['all regulated entities regulated'],['Total number of all regulated entities']
334,percentage of fuel sold in meeting minimum quality standards,,['fuel sold'],['Total number of fuel']
335,percentage of licensed food establishments maintaining compliance with regulations,,['licensed food establishments maintaining'],['Total number of licensed food establishments']
336,percentage of risk management model fully deploy in local market,,['risk management model fully'],['Total number of risk management model']
337,percentage of risk management model fully deploy on borders of entry,,['risk management model fully'],['Total number of risk management model']
338,number of fertilizer sample determinations,,,
339,number of official seed sample determinations performed,,,
340,number of people served by mosquito control activities,,,
341,number of pest control businesses and applicators licensed,,,
342,number of pest control_ feed_ seed_ fertilizer_ and pesticide inspections conducted,,,
343,number of pesticide products registered,,,
344,number of pesticide sample determinations made in the pesticide laboratory,,,
345,number of reported humanequine disease cases caused by mosquitoes,,,
346,percent increase in use of solar and biogas to partly meet energy needs and improve environment,,,
347,percentage of commercial pest control businesses inspected who are in compliance with regulations,,['commercial pest control businesses inspected'],['Total number of commercial pest control businesses']
348,percentage of feed_ seed and fertilizer inspected products in compliance with quality standards,,['compliance inspected'],['Total number of compliance']
349,percentage of licensed pesticide applicators inspected who are in compliance with regulations,,['licensed pesticide applicators inspected'],['Total number of licensed pesticide applicators']
350,percentage of pesticide ingredients evaluated andor managed that are in compliance with regulations,,['pesticide ingredients evaluated'],['Total number of pesticide ingredients']
351,number of us dollar generated for economy per dollar of funds spent on fisheries management and fishing,,,
352,number of catch by catch type_ fishing area and size of vessel,,,
353,number of catch by foreign vessels in national waters,,,
354,number of catch by quota class of fishing vessel and home port,,,
355,number of catch by species and place of landing,,,
356,number of catch by species_ category of vessel and fishing gear,,,
357,number of catch by species_ type of processing and fishing area,,,
358,number of catch by type of processing_ fish species and fishing grounds,,,
359,number of catch of catch by fish types and processing place,,,
360,number of catch of local vessels from all fishing areas,,,
361,number of catches in all fishing regions,,,
362,number of fish catch of countries with over 500 thousand tonnes catch,,,
363,number of fish farms established,,,
364,number of fishermen and fishing boats,,,
365,number of fishing catches by fishing region,,,
366,number of fishing licensed vessels with motor of national fleet by register port,,,
367,number of fishing vessels,,,
368,number of fishing vessels with motor of national fleet by register port,,,
369,number of legal fishing area _km2_,,,
370,number of licenced marine animal gatherers by place of registration,,,
371,number of licenced pedestrian fishermen by place of registration,,,
372,number of lumpfish catch,,,
373,number of motor power of fishing licenced vessels _kw_ of national fleet by register port,,,
374,number of motor power of the fishing vessels _kw_ of national fleet by register port,,,
375,number of motorless fishing vessels of national fleet by register port,,,
376,number of motorless licenced fishing vessels of national fleet by register port,,,
377,number of salmon caught by angling rod in selected rivers ,,,
378,number of salmon fishing by fishing gear used ,,,
379,number of vessels and fishing gear,,,
380,number of vessels in fishing fleet,,,
381,percent change in fish plantations _farms_ production tons,,,
382,average consumption of foodstuffs per inhabitant,,,
383,average time from farm to fork,,,
384,catch percent by region of processing,,,
385,quantity fished _tons_,,,
386,total engine power in fishing fleet,['total engine power in fishing fleet'],,
387,total exports trade in fishery products,['total exports trade in fishery products'],,
388,total external trade of main fish products,['total external trade of main fish products'],,
389,total fishery production _ total all fishing areas,['total all fishing areas'],,
390,total fishery production _catch  aquaculture_,['total fishery production _catch  aquaculture_'],,
391,total imports trade in fishery products,['total imports trade in fishery products'],,
392,total landings of fishery products,['total landings of fishery products'],,
393,total production and external trade of fresh fish and fish products,['total production and external trade of fresh fish and fish products'],,
394,total tonnage of fishing fleet,['total tonnage of fishing fleet'],,
395,total value of catch by quota class_ fish species and months,['total value of catch by quota class_ fish species and months'],,
396,total value of catch by species and fishing area,['total value of catch by species and fishing area'],,
397,total value of catch by species_ region of landing and homeport of vessels,['total value of catch by species_ region of landing and homeport of vessels'],,
398,total value of catch by species_ region of processing and fishing area,['total value of catch by species_ region of processing and fishing area'],,
399,total value of catch in fixed prices,['total value of catch in fixed prices'],,
400,number of animal diseases reported in a year,,,
401,number of certified companies in a country,,,
402,number of food safety alerts in a year,,,
403,number of violations,,,
404,percentage of entry borders successfully implementing risk_based food inspection system,,['entry borders successfully'],['Total number of entry borders']
405,percentage of established food safety indicator,,['established food safety indicator established'],['Total number of established food safety indicator']
406,percentage of reduction in the violations during local market risk_based inspection,,['reduction the violations local market risk_based inspection'],['the violations local market risk_based inspection']
407,establishment regulation compliance rate,,,
408,food products compliance rate,,,
409,total human consumption _tonecapitayear_ _ fish,['total human consumption _tonecapitayear_ _ fish'],,
410,total human consumption _tonecapitayear_ _ wheat,['total human consumption _tonecapitayear_ _ wheat'],,
411,total human consumption of broken rice _toneyear_,['total human consumption of broken rice _toneyear_'],,
412,total human consumption of broken rice per capita _tonecapitayear_,['total human consumption of broken rice per capita _tonecapitayear_'],,
413,total human consumption of cereals by cereals species _toneyear_,['total human consumption of cereals by cereals species _toneyear_'],,
414,total human consumption of cereals per capita _tonecapitayear_ by cereals species,['total human consumption of cereals per capita _tonecapitayear_ by cereals species'],,
415,total human consumption of crude vegetable oils and fats by type of vegetables oils and fats _toneyear_,['total human consumption of crude vegetable oils and fats by type of vegetables oils and fats _toneyear_'],,
416,total human consumption of crude vegetable oils and fats per capita _tonecapitayear_ by type of vegetables oils and fats,['total human consumption of crude vegetable oils and fats per capita _tonecapitayear_ by type of vegetables oils and fats'],,
417,total human consumption of dried pulses by dried pulses species _toneyear_,['total human consumption of dried pulses by dried pulses species _toneyear_'],,
418,total human consumption of dried pulses per capita _tonecapitayear_ by dried pulses species,['total human consumption of dried pulses per capita _tonecapitayear_ by dried pulses species'],,
419,total human consumption of eggs _toneyear_,['total human consumption of eggs _toneyear_'],,
420,total human consumption of eggs per capita _tonecapitayear_,['total human consumption of eggs per capita _tonecapitayear_'],,
421,total human consumption of fruits by fruit specie _toneyear_,['total human consumption of fruits by fruit specie _toneyear_'],,
422,total human consumption of fruits per capita _tonecapitayear_ by fruit specie,['total human consumption of fruits per capita _tonecapitayear_ by fruit specie'],,
423,total human consumption of honey _toneyear_,['total human consumption of honey _toneyear_'],,
424,total human consumption of honey per capita _tonecapitayear_,['total human consumption of honey per capita _tonecapitayear_'],,
425,total human consumption of margarine _toneyear_,['total human consumption of margarine _toneyear_'],,
426,total human consumption of margarine per capita _tonecapitayear_,['total human consumption of margarine per capita _tonecapitayear_'],,
427,total human consumption of meat products _tonecapitayear_ _ beef and veal,['total human consumption of meat products _tonecapitayear_ _ beef and veal'],,
428,total human consumption of meat products _tonecapitayear_ _ chicken,['total human consumption of meat products _tonecapitayear_ _ chicken'],,
429,total human consumption of meat products _tonecapitayear_ _ duck meat,['total human consumption of meat products _tonecapitayear_ _ duck meat'],,
430,total human consumption of meat products _tonecapitayear_ _ poultry meat,['total human consumption of meat products _tonecapitayear_ _ poultry meat'],,
431,total human consumption of meat products _tonecapitayear_ _ sheep meat,['total human consumption of meat products _tonecapitayear_ _ sheep meat'],,
432,total human consumption of meat products _tonecapitayear_ _ total meat,['total meat'],,
433,total human consumption of milk and dairy products by type of milk and dairy products _toneyear_,['total human consumption of milk and dairy products by type of milk and dairy products _toneyear_'],,
434,total human consumption of milk and dairy products per capita _tonecapitayear_ by type of milk and dairy products,['total human consumption of milk and dairy products per capita _tonecapitayear_ by type of milk and dairy products'],,
435,total human consumption of milled rice by grain length _toneyear_,['total human consumption of milled rice by grain length _toneyear_'],,
436,total human consumption of milled rice per capita _tonecapitayear_ by grain length,['total human consumption of milled rice per capita _tonecapitayear_ by grain length'],,
437,total human consumption of oil seeds and fruits by type of oil seeds and fruits _toneyear_,['total human consumption of oil seeds and fruits by type of oil seeds and fruits _toneyear_'],,
438,total human consumption of oil seeds and fruits per capita _tonecapitayear_ by type of oil seeds and fruits _toneyear_,['total human consumption of oil seeds and fruits per capita _tonecapitayear_ by type of oil seeds and fruits _toneyear_'],,
439,total human consumption of potato _toneyear_,['total human consumption of potato _toneyear_'],,
440,total human consumption of potato per capita _tonecapitayear_,['total human consumption of potato per capita _tonecapitayear_'],,
441,total human consumption of sugar _toneyear_,['total human consumption of sugar _toneyear_'],,
442,total human consumption of sugar per capita _tonecapitayear_,['total human consumption of sugar per capita _tonecapitayear_'],,
443,total human consumption of vegetables _toneyear_,['total human consumption of vegetables _toneyear_'],,
444,total human consumption of vegetables by vegetable species _toneyear_,['total human consumption of vegetables by vegetable species _toneyear_'],,
445,total human consumption of vegetables per capita _tonecapitayear_,['total human consumption of vegetables per capita _tonecapitayear_'],,
446,total human consumption of vegetables per capita _tonecapitayear_ by vegetable species,['total human consumption of vegetables per capita _tonecapitayear_ by vegetable species'],,
447,number of chemical residue analyses conducted,,,
448,number of implemented automated laboratory information management system,,,
449,number of inspections of food establishments and water vending machines,,,
450,percent completed in lab of received food samples,,,
451,percentage of food establishment inspections conducted by inspectors,,['food establishment inspections conducted'],['Total number of food establishment inspections']
452,percentage of food establishments meeting food safety and sanitation requirements,,['food establishments meeting'],['Total number of food establishments']
453,percentage of food products analyzed that meet standards,,['food products analyzed'],['Total number of food products']
454,percentage of food service establishments that have certified staff,,['food service establishments certified'],['Total number of food service establishments']
455,percentage of individuals affected by a substantiated food borne illness per 100_000 population,,['individuals affected'],['Total number of individuals']
456,percentage of produce or other food samples analyzed that meet pesticide residue standards,,['produce analyzed'],['Total number of produce']
457,percent reduction in prevalence of food borne illness from meat_ poultry_ and egg products,,,
458,value of fruitvegetables shipped to other countries that are subject to mandatory inspection,,,
459,number of food insecure households based on per capita consumption levels,,,
460,number of food insecure households in perspective as a percentage of total number of households in the community,,['food insecure households perspective a percentage total number households the community'],['total number households the community']
461,number of undernourished,,,
462,percent access to basic foodsstaples _i.e. rice_ tea_ meatfish_,,,
463,percent access to food during man_made or natural disasters _food stock_,,,
464,percent change in eggs production,,,
465,percent change in fish production,,,
466,percent change in poultry production,,,
467,percent change in red meat production,,,
468,percent fish resources _intensity of use of fish resources  depletion levels of local fish,,,
469,percent growth rates in fish capture,,,
470,percent households according to whether or not they are considered food insecure,,,
471,percent share of household budget for food _by nationality_ size of household_ gender_,,,
472,average dietary energy requirement _ader_,,,
473,dietary energy supply _des_,,,
474,food in storage as percentage of annual consumption,,['storage'],['Total number of annual consumption']
475,minimum dietary energy requirement _mder_,,,
476,per capita caloric intake given estimates of the energy content by weight of specific food types,,,
477,proportion of undernourishment,,,
478,self sufficiency of broken rice ,,,
479,self sufficiency of cereals  by cereals species,,,
480,self sufficiency of crude vegetable oils and fats  by type of vegetables oils and fats,,,
481,self sufficiency of dried pulses  by dried pulses species,,,
482,self sufficiency of eggs ,,,
483,self sufficiency of eggs for incubation ,,,
484,self sufficiency of fruits  by fruit specie,,,
485,self sufficiency of honey ,,,
486,self sufficiency of husked rice ,,,
487,self sufficiency of margarine ,,,
488,self sufficiency of meat  by meat type,,,
489,self sufficiency of milk and dairy products  by type of milk and dairy products,,,
490,self sufficiency of milled rice  by grain length,,,
491,self sufficiency of molasses ,,,
492,self sufficiency of oil seeds and fruits  by type of oil seeds and fruits,,,
493,self sufficiency of paddy rice ,,,
494,self sufficiency of potato ,,,
495,self sufficiency of sugar ,,,
496,self sufficiency of vegetables ,,,
497,self sufficiency of vegetables  by vegetable species,,,
498,total number of households considered to be food insecure,,,
