,Measures,Single_operand,Numerator,Denominator
90,average annual loss of lives in floods,,[' annual loss of lives in floods '],[' lives in floods ']
91,average annual population used for per capita measures,,[' annual population used for per capita measures '],[' capita measures ']
92,average annual project expenditures,,[' annual project expenditures '],['average annual project expenditures ']
93,average annual revenue accrued from new client fees,,[' annual revenue accrued from new client fees '],['average annual revenue accrued from new client fees ']
94,average annual revenue earned from retail mortgage loans,,[' annual revenue earned from retail mortgage loans '],['average annual revenue earned from retail mortgage loans ']
95,average annual sales volume per customer,,[' annual sales volume per customer '],[' customer ']
96,average antivirus and antispyware corrective action response time,,[' antivirus and antispyware corrective action response time '],['average antivirus and antispyware corrective action response time ']
97,average apartment price per square meter per year,,[' apartment price per square meter per year '],[' square meter per year ']
98,average apartment price _per square meter per year,,[' apartment price _per square meter per year '],[' year ']
99,average apartment rent per square meter per year,,[' apartment rent per square meter per year '],[' square meter per year ']
100,average apartment rent _per square meter per year,,[' apartment rent _per square meter per year '],[' year ']
101,average application time for patents,,[' application time for patents '],['average application time for patents ']
102,average assets during quarter,,[' assets during quarter '],['average assets during quarter ']
103,average assets per employee,,[' assets per employee '],[' employee ']
104,average assignment time,,[' assignment time '],['average assignment time ']
105,average attendance rates in x grade,,[' attendance rates in x grade '],[' x grade ']
106,average attendance record,,[' attendance record '],['average attendance record ']
107,average audiology waiting times,,[' audiology waiting times '],['average audiology waiting times ']
108,average audit cycle of cis,,[' audit cycle of cis '],[' cis ']
109,average audit cycle of configuration items ci,,[' audit cycle of configuration items ci '],[' configuration items ci ']
110,average automobile vehicle miles of travel,,[' automobile vehicle miles of travel '],[' travel ']
111,average batch cycle time for active pharmaceutical ingredients,,[' batch cycle time for active pharmaceutical ingredients '],['average batch cycle time for active pharmaceutical ingredients ']
112,average benefits,,[' benefits '],['average benefits ']
113,average benefits of social assistance benefits,,[' benefits of social assistance benefits '],[' social assistance benefits ']
114,average bet,,[' bet '],['average bet ']
115,average beverage sales per head,,[' beverage sales per head '],[' head ']
116,average book borrow time,,[' book borrow time '],['average book borrow time ']
117,average book to ship days,,[' book to ship days '],[' ship days ']
118,average booking response time within x days,,[' booking response time within x days '],['average booking response time within x days ']
119,average break even time of projects,,[' break even time of projects '],[' projects ']
120,average break_even time of projects,,[' break_even time of projects '],[' projects ']
121,average bucket weight,,[' bucket weight '],['average bucket weight ']
122,average budget size of projects,,[' budget size of projects '],[' projects ']
123,average call handle time,,[' call handle time '],['average call handle time ']
124,average call handle time for qr only as per sla _2.5 minutes,,[' call handle time for qr only as per sla _2.5 minutes '],[' sla _2.5 minutes ']
125,average call handling quality,,[' call handling quality '],['average call handling quality ']
126,average call handling time by cco,,[' call handling time by cco '],['average call handling time by cco ']
127,average call length,,[' call length '],['average call length ']
128,average call to order time,,[' call to order time '],[' order time ']
129,average call wrap up duration,,[' call wrap up duration '],['average call wrap up duration ']
130,average calls handled per day,,[' calls handled per day '],[' day ']
131,average capacity utilization per telecom tower,,[' capacity utilization per telecom tower '],[' telecom tower ']
132,average capital costs per student by college,,[' capital costs per student by college '],[' student by college ']
133,average capital employed,,[' capital employed '],['average capital employed ']
134,average carbon content in the topsoil,,[' carbon content in the topsoil '],[' the topsoil ']
135,average carbon dioxide emissions by type of vehicle,,[' carbon dioxide emissions by type of vehicle '],[' vehicle ']
136,average carbon dioxide emissions of vehicles,,[' carbon dioxide emissions of vehicles '],[' vehicles ']
137,average carbon dioxide emissions per km from new passenger cars,,[' carbon dioxide emissions per km from new passenger cars '],[' km from new passenger cars ']
138,average carrying cost of inventory,,[' carrying cost of inventory '],[' inventory ']
139,average case load per law professional,,[' case load per law professional '],[' law professional ']
140,average case load per physician fte,,[' case load per physician fte '],[' physician fte ']
141,average cases managed per manager,,[' cases managed per manager '],[' manager ']
142,average catering cost per booking,,[' catering cost per booking '],[' booking ']
143,average change closure duration,,[' change closure duration '],['average change closure duration ']
144,average change in functional status following lumbar spine fusion surgery,,[' change in functional status following lumbar spine fusion surgery '],[' functional status following lumbar spine fusion surgery ']
145,average change time time between cycles,,[' change time time between cycles '],['average change time time between cycles ']
146,average charge of cancellation per order,,[' charge of cancellation per order '],[' cancellation per order ']
147,average check_in time,,[' check_in time '],['average check_in time ']
148,average claim processing time,,[' claim processing time '],['average claim processing time ']
149,average claims per employee,,[' claims per employee '],[' employee ']
150,average class size,,[' class size '],['average class size ']
151,average class size by type of institution and levelgrade of education,,[' class size by type of institution and levelgrade of education '],[' institution and levelgrade of education ']
152,average classification score for first calvers,,[' classification score for first calvers '],['average classification score for first calvers ']
153,average cleaning costs per convention center m2,,[' cleaning costs per convention center m2 '],[' convention center m2 ']
154,average cleaning costs per room,,[' cleaning costs per room '],[' room ']
155,average cleaning costs per shelf space m2,,[' cleaning costs per shelf space m2 '],[' shelf space m2 ']
156,average cleaning costs per store m2,,[' cleaning costs per store m2 '],[' store m2 ']
157,average cleaning costs per treatment room,,[' cleaning costs per treatment room '],[' treatment room ']
158,average clicks per post,,[' clicks per post '],[' post ']
159,average client delight,,[' client delight '],['average client delight ']
160,average client relationship duration,,[' client relationship duration '],['average client relationship duration ']
161,average clinic visit duration,,[' clinic visit duration '],['average clinic visit duration ']
162,average closure duration of compliance issues,,[' closure duration of compliance issues '],[' compliance issues ']
163,average closure duration of insurance claims,,[' closure duration of insurance claims '],[' insurance claims ']
164,average closure duration of maintenance requests,,[' closure duration of maintenance requests '],[' maintenance requests ']
165,average closure duration of orders,,[' closure duration of orders '],[' orders ']
166,average closure duration of project issues,,[' closure duration of project issues '],[' project issues ']
167,average closure duration of project tasks,,[' closure duration of project tasks '],[' project tasks ']
168,average closure duration of risk vulnerabilities,,[' closure duration of risk vulnerabilities '],[' risk vulnerabilities ']
169,average comments per article,,[' comments per article '],[' article ']
170,average comments per blog post,,[' comments per blog post '],[' blog post ']
171,average comments user,,[' comments user '],['average comments user ']
172,average commission per sale,,[' commission per sale '],[' sale ']
173,average commission per salesperson,,[' commission per salesperson '],[' salesperson ']
174,average commute times to work in minutes,,[' commute times to work in minutes '],[' work in minutes ']
175,average compensation,,[' compensation '],['average compensation ']
176,average compensation of employees,,[' compensation of employees '],[' employees ']
177,average compensation per employee,,[' compensation per employee '],[' employee ']
178,average complaints per day,,[' complaints per day '],[' day ']
179,average complaints per head,,[' complaints per head '],[' head ']
180,average complaints per order type,,[' complaints per order type '],[' order type ']
181,average compliance training expense per fte,,[' compliance training expense per fte '],[' fte ']
182,average compliance training hours per fte,,[' compliance training hours per fte '],[' fte ']
183,average connection time,,[' connection time '],['average connection time ']
184,average consignment size,,[' consignment size '],['average consignment size ']
185,average construction time,,[' construction time '],['average construction time ']
186,average consultants years of experience,,[' consultants years of experience '],[' experience ']
187,average consumption expenditure of private households,,[' consumption expenditure of private households '],[' private households ']
188,average consumption of fertilizers in agriculture farm,,[' consumption of fertilizers in agriculture farm '],[' fertilizers in agriculture farm ']
189,average consumption of foodstuffs per inhabitant,,[' consumption of foodstuffs per inhabitant '],[' foodstuffs per inhabitant ']
190,average contact duration,,[' contact duration '],['average contact duration ']
191,average contribution of the main sources of n or p inputs and outputs in n or p balances,,[' contribution of the main sources of n or p inputs and outputs in n or p balances '],[' the main sources of n or p inputs and outputs in n or p balances ']
192,average conversion time,,[' conversion time '],['average conversion time ']
193,average conversion value through online channel,,[' conversion value through online channel '],['average conversion value through online channel ']
194,average corrective maintenance costs per airplane,,[' corrective maintenance costs per airplane '],[' airplane ']
195,average corrective maintenance costs per gas connection,,[' corrective maintenance costs per gas connection '],[' gas connection ']
196,average corrective maintenance costs per gas distribution km,,[' corrective maintenance costs per gas distribution km '],[' gas distribution km ']
197,average corrective maintenance costs per power connection,,[' corrective maintenance costs per power connection '],[' power connection ']
198,average corrective maintenance costs per power distribution km,,[' corrective maintenance costs per power distribution km '],[' power distribution km ']
199,average corrective maintenance costs per real estate rental property,,[' corrective maintenance costs per real estate rental property '],[' real estate rental property ']
200,average corrective maintenance costs per rental property,,[' corrective maintenance costs per rental property '],[' rental property ']
201,average corrective maintenance costs per room,,[' corrective maintenance costs per room '],[' room ']
202,average corrective maintenance costs per sewage connection,,[' corrective maintenance costs per sewage connection '],[' sewage connection ']
203,average corrective maintenance costs per sewage km,,[' corrective maintenance costs per sewage km '],[' sewage km ']
204,average corrective maintenance costs per ship,,[' corrective maintenance costs per ship '],[' ship ']
205,average corrective maintenance costs per square foot of property space,,[' corrective maintenance costs per square foot of property space '],[' square foot of property space ']
206,average corrective maintenance costs per telecom tower,,[' corrective maintenance costs per telecom tower '],[' telecom tower ']
207,average corrective maintenance costs per train,,[' corrective maintenance costs per train '],[' train ']
208,average corrective maintenance costs per treatment room,,[' corrective maintenance costs per treatment room '],[' treatment room ']
209,average corrective maintenance costs per truck,,[' corrective maintenance costs per truck '],[' truck ']
210,average corrective maintenance costs per water connection,,[' corrective maintenance costs per water connection '],[' water connection ']
211,average corrective maintenance costs per water distribution km,,[' corrective maintenance costs per water distribution km '],[' water distribution km ']
212,average corrective maintenance time per airplane,,[' corrective maintenance time per airplane '],[' airplane ']
213,average corrective maintenance time per gas connection,,[' corrective maintenance time per gas connection '],[' gas connection ']
214,average corrective maintenance time per gas distribution km,,[' corrective maintenance time per gas distribution km '],[' gas distribution km ']
215,average corrective maintenance time per power connection,,[' corrective maintenance time per power connection '],[' power connection ']
216,average corrective maintenance time per power distribution km,,[' corrective maintenance time per power distribution km '],[' power distribution km ']
217,average corrective maintenance time per real estate rental property,,[' corrective maintenance time per real estate rental property '],[' real estate rental property ']
218,average corrective maintenance time per rental property,,[' corrective maintenance time per rental property '],[' rental property ']
219,average corrective maintenance time per room,,[' corrective maintenance time per room '],[' room ']
220,average corrective maintenance time per sewage connection,,[' corrective maintenance time per sewage connection '],[' sewage connection ']
221,average corrective maintenance time per sewage km,,[' corrective maintenance time per sewage km '],[' sewage km ']
222,average corrective maintenance time per ship,,[' corrective maintenance time per ship '],[' ship ']
223,average corrective maintenance time per square foot of property space,,[' corrective maintenance time per square foot of property space '],[' square foot of property space ']
224,average corrective maintenance time per telecom tower,,[' corrective maintenance time per telecom tower '],[' telecom tower ']
225,average corrective maintenance time per train,,[' corrective maintenance time per train '],[' train ']
226,average corrective maintenance time per treatment room,,[' corrective maintenance time per treatment room '],[' treatment room ']
227,average corrective maintenance time per truck,,[' corrective maintenance time per truck '],[' truck ']
228,average corrective maintenance time per unit,,[' corrective maintenance time per unit '],[' unit ']
229,average corrective maintenance time per water connection,,[' corrective maintenance time per water connection '],[' water connection ']
230,average corrective maintenance time per water distribution km,,[' corrective maintenance time per water distribution km '],[' water distribution km ']
231,average cost associated with products failure during the ideation or randd stage,,[' cost associated with products failure during the ideation or randd stage '],['average cost associated with products failure during the ideation or randd stage ']
232,average cost associated with researching and developing a drug that fails,,[' cost associated with researching and developing a drug that fails '],['average cost associated with researching and developing a drug that fails ']
233,average cost for each procedure,,[' cost for each procedure '],['average cost for each procedure ']
234,average cost incurred by the audience research function,,[' cost incurred by the audience research function '],['average cost incurred by the audience research function ']
235,average cost incurred by the content marketing group to produce a piece of promotional marketing material,,[' cost incurred by the content marketing group to produce a piece of promotional marketing material '],[' produce a piece of promotional marketing material ']
236,average cost involved with import or export transaction,,[' cost involved with import or export transaction '],['average cost involved with import or export transaction ']
237,average cost of a single impression view for an individual marketingadvertising campaign,,[' cost of a single impression view for an individual marketingadvertising campaign '],[' a single impression view for an individual marketingadvertising campaign ']
238,average cost of a tender or bid procedure,,[' cost of a tender or bid procedure '],[' a tender or bid procedure ']
239,average cost of a tenderbid procedure,,[' cost of a tenderbid procedure '],[' a tenderbid procedure ']
240,average cost of administrative actions revocation fine probation and compliance letters,,[' cost of administrative actions revocation fine probation and compliance letters '],[' administrative actions revocation fine probation and compliance letters ']
241,average cost of automated measurement per kpi,,[' cost of automated measurement per kpi '],[' automated measurement per kpi ']
242,average cost of benchmarking per kpi,,[' cost of benchmarking per kpi '],[' benchmarking per kpi ']
243,average cost of benchmarking study,,[' cost of benchmarking study '],[' benchmarking study ']
244,average cost of concealed weaponfirearm applications processed,,[' cost of concealed weaponfirearm applications processed '],[' concealed weaponfirearm applications processed ']
245,average cost of course,,[' cost of course '],[' course ']
246,average cost of employment,,[' cost of employment '],[' employment ']
247,average cost of facility heating and cooling,,[' cost of facility heating and cooling '],[' facility heating and cooling ']
248,average cost of generating a single qualified sales lead,,[' cost of generating a single qualified sales lead '],[' generating a single qualified sales lead ']
249,average cost of handling returned products,,[' cost of handling returned products '],[' handling returned products ']
250,average cost of hiring,,[' cost of hiring '],[' hiring ']
251,average cost of input errors to the computer,,[' cost of input errors to the computer '],[' input errors to the computer ']
252,average cost of investigation,,[' cost of investigation '],[' investigation ']
253,average cost of kwh production,,[' cost of kwh production '],[' kwh production ']
254,average cost of managing processes,,[' cost of managing processes '],[' managing processes ']
255,average cost of manual measurement per kpi,,[' cost of manual measurement per kpi '],[' manual measurement per kpi ']
256,average cost of producing a piece of advertising content,,[' cost of producing a piece of advertising content '],[' producing a piece of advertising content ']
257,average cost of program,,[' cost of program '],[' program ']
258,average cost of recruitment management,,[' cost of recruitment management '],[' recruitment management ']
259,average cost of recruitment staff,,[' cost of recruitment staff '],[' recruitment staff ']
260,average cost of recruitment _management,,[' cost of recruitment _management '],[' recruitment _management ']
261,average cost of recruitment _non_management,,[' cost of recruitment _non_management '],[' recruitment _non_management ']
262,average cost of recruitment per employee,,[' cost of recruitment per employee '],[' recruitment per employee ']
263,average cost of recruitment per staff,,[' cost of recruitment per staff '],[' recruitment per staff ']
264,average cost of recruitment per year,,[' cost of recruitment per year '],[' recruitment per year ']
265,average cost of security investigative and recovery applications processed,,[' cost of security investigative and recovery applications processed '],[' security investigative and recovery applications processed ']
266,average cost of security investigative and recovery compliance inspections,,[' cost of security investigative and recovery compliance inspections '],[' security investigative and recovery compliance inspections ']
267,average cost of security investigative and recovery investigations,,[' cost of security investigative and recovery investigations '],[' security investigative and recovery investigations ']
268,average cost of training per year,,[' cost of training per year '],[' training per year ']
269,average cost per application mail,,[' cost per application mail '],[' application mail ']
270,average cost per article,,[' cost per article '],[' article ']
271,average cost per asphalt repair,,[' cost per asphalt repair '],[' asphalt repair ']
272,average cost per broadcast hour,,[' cost per broadcast hour '],[' broadcast hour ']
273,average cost per call,,[' cost per call '],[' call ']
274,average cost per claim,,[' cost per claim '],[' claim ']
275,average cost per click cpc,,[' cost per click cpc '],[' click cpc ']
276,average cost per click _cpc,,[' cost per click _cpc '],[' click _cpc ']
277,average cost per compliance related lawsuit,,[' cost per compliance related lawsuit '],[' compliance related lawsuit ']
278,average cost per converted lead,,[' cost per converted lead '],[' converted lead ']
279,average cost per council,,[' cost per council '],[' council ']
280,average cost per council of providing the different types of service,,[' cost per council of providing the different types of service '],[' council of providing the different types of service ']
281,average cost per cubic yard of concrete used,,[' cost per cubic yard of concrete used '],[' cubic yard of concrete used ']
282,average cost per customer conversion,,[' cost per customer conversion '],[' customer conversion ']
283,average cost per daily servicing acre,,[' cost per daily servicing acre '],[' daily servicing acre ']
284,average cost per delivery,,[' cost per delivery '],[' delivery ']
285,average cost per discharge,,[' cost per discharge '],[' discharge ']
286,average cost per foot of drainage pipe cleaned,,[' cost per foot of drainage pipe cleaned '],[' foot of drainage pipe cleaned ']
287,average cost per foot of sewer pipe jet cleaned,,[' cost per foot of sewer pipe jet cleaned '],[' foot of sewer pipe jet cleaned ']
288,average cost per gift,,[' cost per gift '],[' gift ']
289,average cost per hour of opening of practice,,[' cost per hour of opening of practice '],[' hour of opening of practice ']
290,average cost per hour of opening of retail store,,[' cost per hour of opening of retail store '],[' hour of opening of retail store ']
291,average cost per impression,,[' cost per impression '],[' impression ']
292,average cost per incident attended,,[' cost per incident attended '],[' incident attended ']
293,average cost per incoming phone call,,[' cost per incoming phone call '],[' incoming phone call ']
294,average cost per international delivery,,[' cost per international delivery '],[' international delivery ']
295,average cost per item delivered,,[' cost per item delivered '],[' item delivered ']
296,average cost per job category,,[' cost per job category '],[' job category ']
297,average cost per lawsuit,,[' cost per lawsuit '],[' lawsuit ']
298,average cost per lawyer hour,,[' cost per lawyer hour '],[' lawyer hour ']
299,average cost per lead,,[' cost per lead '],[' lead ']
300,average cost per lead of inbound marketing,,[' cost per lead of inbound marketing '],[' lead of inbound marketing ']
301,average cost per lead of outbound marketing,,[' cost per lead of outbound marketing '],[' lead of outbound marketing ']
302,average cost per load,,[' cost per load '],[' load ']
303,average cost per lost time claim,,[' cost per lost time claim '],[' lost time claim ']
304,average cost per medical only claim,,[' cost per medical only claim '],[' medical only claim ']
305,average cost per megawatt produced,,[' cost per megawatt produced '],[' megawatt produced ']
306,average cost per mile of street cleaned,,[' cost per mile of street cleaned '],[' mile of street cleaned ']
307,average cost per move,,[' cost per move '],[' move ']
308,average cost per national delivery,,[' cost per national delivery '],[' national delivery ']
309,average cost per new business application,,[' cost per new business application '],[' new business application ']
310,average cost per occupied unit,,[' cost per occupied unit '],[' occupied unit ']
311,average cost per order,,[' cost per order '],[' order ']
312,average cost per patent,,[' cost per patent '],[' patent ']
313,average cost per patient by trial phase,,[' cost per patient by trial phase '],[' patient by trial phase ']
314,average cost per patient for treatment services,,[' cost per patient for treatment services '],[' patient for treatment services ']
315,average cost per performing night,,[' cost per performing night '],[' performing night ']
316,average cost per power connection,,[' cost per power connection '],[' power connection ']
317,average cost per production hour,,[' cost per production hour '],[' production hour ']
318,average cost per return to work,,[' cost per return to work '],[' return to work ']
319,average cost per service,,[' cost per service '],[' service ']
320,average cost per square foot,,[' cost per square foot '],[' square foot ']
321,average cost per store,,[' cost per store '],[' store ']
322,average cost per subscription,,[' cost per subscription '],[' subscription ']
323,average cost per ton of asphalt used,,[' cost per ton of asphalt used '],[' ton of asphalt used ']
324,average cost per ton of rock used,,[' cost per ton of rock used '],[' ton of rock used ']
325,average cost per trademark registered,,[' cost per trademark registered '],[' trademark registered ']
326,average cost per vacancy filled,,[' cost per vacancy filled '],[' vacancy filled ']
327,average cost per viewer listener,,[' cost per viewer listener '],[' viewer listener ']
328,average cost per workers compensation claim,,[' cost per workers compensation claim '],[' workers compensation claim ']
329,average cost per x_ray,,[' cost per x_ray '],[' x_ray ']
330,average cost required to convert a prospect into a borrower,,[' cost required to convert a prospect into a borrower '],[' convert a prospect into a borrower ']
331,average cost spent per proposal,,[' cost spent per proposal '],[' proposal ']
332,average cost to acquire a new customer for a certain product or service,,[' cost to acquire a new customer for a certain product or service '],[' acquire a new customer for a certain product or service ']
333,average cost to create a business plan,,[' cost to create a business plan '],[' create a business plan ']
334,average cost to create strategic plan,,[' cost to create strategic plan '],[' create strategic plan ']
335,average cost to create strategic plans,,[' cost to create strategic plans '],[' create strategic plans ']
336,average cost to litigate a lawsuit,,[' cost to litigate a lawsuit '],[' litigate a lawsuit ']
337,average cost to prepare a proposal,,[' cost to prepare a proposal '],[' prepare a proposal ']
338,average cost to process a single lockbox item,,[' cost to process a single lockbox item '],[' process a single lockbox item ']
339,average cost to produce financial statements,,[' cost to produce financial statements '],[' produce financial statements ']
340,average cost to recruit per job position,,[' cost to recruit per job position '],[' recruit per job position ']
341,average cost to resolve a breakdown,,[' cost to resolve a breakdown '],[' resolve a breakdown ']
342,average cost to solve a problem,,[' cost to solve a problem '],[' solve a problem ']
343,average cost to solve an incident,,[' cost to solve an incident '],[' solve an incident ']
344,average costs for customer relations per customer,,[' costs for customer relations per customer '],[' customer ']
345,average costs incurred per litigation case dealt with,,[' costs incurred per litigation case dealt with '],[' litigation case dealt with ']
346,average costs of a release,,[' costs of a release '],[' a release ']
347,average costs of change implementation,,[' costs of change implementation '],[' change implementation ']
348,average costs of penalties paid on service level agreements slas,,[' costs of penalties paid on service level agreements slas '],[' penalties paid on service level agreements slas ']
349,average costs of release,,[' costs of release '],[' release ']
350,average costs of rework of financial statements due to inaccuracy,,[' costs of rework of financial statements due to inaccuracy '],[' rework of financial statements due to inaccuracy ']
